legacy_delivery_surface_report_version=1
mode=report
source_files_scanned=3056
built_images_scanned=0
source_contents_emitted=false
rancher_fleet_runtime_policy=prohibited
historical_allowlist_is_runtime_authorization=false
generated_chart=helm_template
generated_cli=go_run
summary scope=active_runtime signature=banned_rancher_fleet files=0 matches=0
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/crd-clusterbaseline.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/crd-componentbundle.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/crd-gitopstarget.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/crd-rbac.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/dex-deployment.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/dex-legacy-cleanup.yaml matches=18
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/dex-legacy-prepare.yaml matches=20
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/dex-runtime-secret.yaml matches=6
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/dex-runtime-writer-rbac.yaml matches=4
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/httproute.yaml matches=5
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/ingress.yaml matches=2
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/management-plane-backup-cronjob.yaml matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/management-plane-restore-drill-cronjob.yaml matches=1
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/networkpolicy.yaml matches=12
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/preflight-job.yaml matches=14
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/preflight-networkpolicy.yaml matches=7
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/preflight-rbac.yaml matches=9
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/prometheus-rules.yaml matches=9
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/server-deployment.yaml matches=3
surface scope=active_runtime signature=legacy_argo path=deploy/chart/templates/server-service.yaml matches=4
